,firstname,lastname,unversity,department,grad_school,title,highest_degree,Grad_Yr
159,Kaumudi, Joshipura,Havard University,Department of Epidemiology,"Bachelor of Dental Surgery, Bombay University, 1982|MS in Biostatistics, Harvard School of Public Health, 1989|ScD in Epidemiology, Harvard School of Public Health, 1995|Board Certified in Dental Public Health, 1999",Adjunct Professor of Epidemiology,Degree Not Found,1999
160,Allen, Kachalia,Havard University,Department of Health Policy and Management,"BS,  Biochemistry and Business Economics, UCLA, Los Angeles, California|MD,  Washington University School of Medicine, St. Louis, Missouri|JD,  University of Pennsylvania Law School, Philadelphia, Pennsylvania",Associate Professor in the Department of Health Policy and Management,Degree Not Found,1999
161,Fotis, Kafatos,Havard University,Department of Immunology and Infectious Diseases,Education Not Found,Adjunct Professor of Immunology and Infectious Diseases,Degree Not Found,0
162,Stefanos, Kales,Havard University,Department of Environmental Health,"BS, 1985 Bucknell University|MD, 1989 Harvard Medical School|MPH, 1992 Harvard School of Public Health",Associate Professor in the Department of Environmental Health,Degree Not Found,1992
163,Nancy, Kane,Havard University,Department of Health Policy and Management,Dr Kane earned her Masters and Doctoral Degrees in Business Administration from Harvard Business School.,Professor of Management,Degree Not Found,0
164,Phyllis, Kanki,Havard University,Department of Immunology and Infectious Diseases,,Professor of Immunology and Infectious Diseases,Degree Not Found,0
165,Jeffrey, Katz,Havard University,Department of EpidemiologyDepartment of Environmental Health,Education Not Found,Professor in the Departments of Epidemiology and Environmental Health,Degree Not Found,0
166,Ichiro, Kawachi,Havard University,Department of Social and Behavioral Sciences,,John L. Loeb and Frances Lehman Loeb Professor of Social Epidemiology,Degree Not Found,0
167,Stephanie, Kayden,Havard University,None,Education Not Found,Assistant Professor in the Department of Global Health and Population,Degree Not Found,0
168,Jane, Kim,Havard University,Department of Health Policy and Management,"Ph.D.,  Harvard University|M.Sc.,  Harvard School of Public Health",Associate Professor of Health Decision Science,Ph.D.,2005
169,Gary, King,Havard University,None,Education Not Found,Albert J. Weatherhead III University Professor,Degree Not Found,0
170,Lester, Kobzik,Havard University,Department of Environmental Health,Education Not Found,Professor in the Department of Environmental Health,Degree Not Found,0
171,Karestan, Koenen,Havard University,Department of Social and Behavioral Sciences,"Post-doctoral Fellowship,  Psychiatric Epidemiology, Columbia University|Ph.D.,  Clinical Psychology, Boston University|M.A.,  Developmental Psychology, Columbia University|B.A.,  Economics, Wellesley College",Adjunct Associate Professor of Social and Behavioral Sciences,Degree Not Found,2002
172,Howard, Koh,Havard University,None,Education Not Found,Professor of the Practice of Public Health Leadership,Degree Not Found,0
173,Susan, Korrick,Havard University,Department of Environmental Health,Education Not Found,Assistant Professor in the Department of Environmental Health,Degree Not Found,0
174,Petros, Koutrakis,Havard University,Department of Environmental Health,"Ph.D.,  University of Paris, France|MS,  University of Paris, France|BS,  University of Patras, Greece",Professor of Environmental Sciences,Ph.D.,1984
175,Peter, Kraft,Havard University,Department of EpidemiologyDepartment of Biostatistics,,Professor of Epidemiology,Degree Not Found,0
176,Nancy, Krieger,Havard University,Department of Social and Behavioral Sciences,"Ph.D.,  University of California, Berkeley|M.S.,  University of Washington,Research,Dr. Nancy Kriegerôs work focuses on social inequalities in health. She is a social epidemiologist, with a background in biochemistry, philosophy of science, histo",Professor of Social Epidemiology,Ph.D.,1989
177,Margaret, Kruk,Havard University,None,Education Not Found,Associate Professor of Global Health,Degree Not Found,0
178,Laura, Kubzansky,Havard University,Department of Social and Behavioral Sciences,"Ph.D.,  University of Michigan|MPH,  Harvard School of Public Health",Professor of Social and Behavioral Sciences,Ph.D.,1997
179,Roland, Kupka,Havard University,Department of Nutrition,"Sc.D. (Nutrition and Epidemiology),  Harvard School of Public Health",Adjunct Assistant Professor of Nutrition,Sc.D.,2004
180,Tobias, Kurth,Havard University,Department of Epidemiology,"M.D.,  Eberhard-Karls-University, T√ºbingen, Germany|M.Sc. (Epidemiology),  Harvard School of Public Health|Sc.D. (Epidemiology),  Harvard School of Public Health,Useful links,Health Determinants in Societies (HEADS) Program",Adjunct Professor of Epidemiology,M.D.,2003
181,Francine, Laden,Havard University,Department of Environmental HealthDepartment of Epidemiology,"Sc.D.,  Harvard School of Public Health|MS,  Harvard School of Public Health",Mark and Catherine Winkler Associate Professor of Environmental Epidemiology,Sc.D.,1998
182,Pagona, Lagiou,Havard University,Department of Epidemiology,"MD,  University of Athens Medical School|MS Epidemiology,  Harvard School of Public Health|PhD Epidemiology,  University of Athens Medical School|Boards in Internal Medicine,  Hellenic State",Adjunct Professor of Epidemiology,M.D.,1999
183,Amir, Lahav,Havard University,Department of Epidemiology,Education Not Found,Assistant Professor in the Department of Epidemiology,Degree Not Found,0
184,Nan, Laird,Havard University,Department of Biostatistics,"Ph.D.,  Harvard University",Harvey V. Fineberg Professor of Public Health and Professor of Biostatistics,Ph.D.,1975
185,Joel, Lamstein,Havard University,Department of Global Health and Population,Education Not Found,Adjunct Lecturer on Global Health,Degree Not Found,0
186,Philip, Landrigan,Havard University,Department of Environmental Health,"MD, Harvard Medical School|Diploma of Industrial Health, University of London|M.Sc. in Occupational Medicine, London School of Hygiene and Tropical Medicine|AB, Boston College|Epidemic Intelligence Service Officer|Centers for Disease Control and Prevention",Adjunct Professor of Environmental Health,M.D.,0
187,Christoph, Lange,Havard University,Department of Biostatistics,"Ph.D.,  University of Reading, United Kingdom",Professor of Biostatistics,Ph.D.,2000
188,Ana, Langer,Havard University,Department of Global Health and Population,Education Not Found,Professor of the Practice of Public Health,Degree Not Found,0
189,Ian, Lapp,Havard University,Department of Global Health and Population,Education Not Found,Lecturer on Global Health,Degree Not Found,0
190,Karl, Lauterbach,Havard University,Department of Health Policy and Management,Education Not Found,Adjunct Professor of Health Policy and Management,Degree Not Found,0
191,John, Lavis,Havard University,Department of Global Health and Population,Education Not Found,Adjunct Professor of Global Health,Degree Not Found,0
192,Jennifer, Leaning,Havard University,Department of Global Health and Population,Education Not Found,Francois-Xavier Bagnoud Professor of the Practice of Health and Human Rights,Degree Not Found,0
193,Lucian, Leape,Havard University,Department of Health Policy and Management,"AB, Cornell University, 1952|MD,cum laude, Harvard Medical School, 1959",Adjunct Professor of Health Policy,Degree Not Found,1959
194,Chih-Hao, Lee,Havard University,Department of Genetics and Complex DiseasesDepartment of Nutrition,"Ph.D.,  University of Minnesota,Other Affiliations,Ph.D. Program in Biological Sciences in Public Health,Photo: Kent Dayton/Harvard Chan School",Associate Professor of Genetics and Complex Diseases,Ph.D.,1999
195,I-Min, Lee,Havard University,Department of Epidemiology,"MBBS,  National University of Singapore|MPH,  Harvard School of Public Health|ScD,  Harvard School of Public Health",Professor in the Department of Epidemiology,Degree Not Found,1991
196,Thomas, Lee,Havard University,Department of Global Health and Population,"M.D.,  Cornell University Medical School|M.Sc.,  Harvard School of Public Health",Professor in the Department of Health Policy and Management,M.D.,1987
197,Tun-Hou, Lee,Havard University,Department of Immunology and Infectious Diseases,,Professor of Virology,Degree Not Found,0
198,Lisa, Lehmann,Havard University,Department of Health Policy and Management,Education Not Found,Associate Professor in the Department of Health Policy and Management,Degree Not Found,0
199,Bernardo, Lemos,Havard University,Department of Environmental Health,"Ph.D.,  Harvard University,Genome Function and Environment Interaction,Finding balance in epigenetic systems,The relevance of environmental context to the expression of the genome is unequivocal.Environmental perturbations and nutritional input reshap",Assistant Professor of Environmental Epigenetics,Ph.D.,2007
200,Richard, Levins,Havard University,Department of Global Health and Population,"Ph.D.,  Columbia University",John Rock Professor of Population Sciences,Ph.D.,1965
201,Jeffrey, Levin-Scherz,Havard University,Department of Health Policy and Management,Education Not Found,Assistant Professor in the Department of Health Policy and Management,Degree Not Found,0
202,Jonathan, Levy,Havard University,Department of Environmental Health,"Sc.D.,  Harvard School of Public Health (Environmental Science and Risk Management)",Adjunct Professor of Environmental Health,Sc.D.,1999
203,Frederick, Li,Havard University,None,"M.D.,  University of Rochester School of Medicine and Dentistry|M.A.,  Georgetown University","Professor of Clinical Cancer Epidemiology, Emeritus",M.D.,1967
204,Liming, Liang,Havard University,Department of EpidemiologyDepartment of Biostatistics,"PhD, Biostatistics withDr. Gon√ßalo Abecasisat the University of Michigan, Ann Arbor, 2009",Assistant Professor of Statistical Genetics,Ph.D.,2009
205,Matthew, Liang,Havard University,Department of Health Policy and Management,"M.D.,  Harvard Medical School|M.P.H.,  Harvard School of Public Health",Professor in the Department of Health Policy and Management,M.D.,1972
206,Ellice, Lieberman,Havard University,Department of Social and Behavioral SciencesDepartment of Epidemiology,"M.D.,  University of Florida College of Medicine|Dr.P.H.,  Harvard School of Public Health",Professor in the Department of Social and Behavioral Sciences and Epidemiology,M.D.,1986
207,Xihong, Lin,Havard University,None,Education Not Found,Henry Pickering Walcott Professor of Biostatistics,Degree Not Found,0
208,Ana, Lindsay,Havard University,Department of Nutrition,"DrPH, Harvard School of Public Health, Boston, Massachusetts|MPH, Harvard School of Public Health, Boston, Massachusetts|DDS, Campos School of Dental Sciences, Rio de Janeiro, Brazil",Adjunct Associate Professor of Nutrition,Dr.P.H,0
209,Marc, Lipsitch,Havard University,Department of EpidemiologyDepartment of Immunology and Infectious Diseases,"B.A.,  Philosophy, Yale University|D.Phil.,  Zoology, University of Oxford,Photo Credit: Stephanie Mitchell/Harvard University News Office",Professor of Epidemiology,Degree Not Found,1995
210,John, B. Little,Havard University,Department of Genetics and Complex Diseases,"M.D.,  Boston University School of Medicine","James Stevens Simmons Professor of Radiobiology, Emeritus",M.D.,1955
211,Eugene, Litvak,Havard University,Department of Health Policy and Management,Education Not Found,Adjunct Professor of Operations Management,Degree Not Found,0
212,Jun, Liu,Havard University,Department of Biostatistics,"Ph.D.,  The University of Chicago",Professor in the Department of Biostatistics,Ph.D.,1991
213,Xiaole, Liu,Havard University,Department of Biostatistics,"BA Biochemistry, BA Computer Science,  Smith College|PhD Biomedical Informatics, PhD minor Computer Science,  Stanford University",Professor of Biostatistics,Degree Not Found,2002
214,Yuanli, Liu,Havard University,Department of Global Health and Population,"Ph.D.,  Health Services Research, Administration, and Policy, University of Minnesota,M.S.,  Health Policy &amp; Management, Harvard University,MPH,  Social Medicine, Tongji Medical University",Adjunct Senior Lecturer on International Health,Ph.D.,1995
215,Clifford, Lo,Havard University,Department of Nutrition,"M.D.,  University of Hawaii|M.P.H.,  University of California, Los Angeles|Sc.D.,  Massachusetts Institute of Technology",Associate Professor in the Department of Nutrition,M.D.,1986
216,Shahin, Lockman,Havard University,Department of Immunology and Infectious Diseases,Education Not Found,Associate Professor in the Department of Immunology and Infectious Diseases,Degree Not Found,0
217,Judith, Lok,Havard University,Department of Biostatistics,"Ph.D.,  Free University of Amsterdam, The Netherlands,Research,Dr. Judith Lokôs research program currently focuses on statistical methods in HIV-AIDS related problems, using observational data. Together with Dr. James Robins and Dr. Miguel Hernan she",Associate Professor of Biostatistics,Ph.D.,2001
218,Chensheng, (Alex) Lu,Havard University,Department of Environmental Health,,Associate Professor of Environmental Exposure Biology,Degree Not Found,0
219,Quan, Lu,Havard University,Department of Environmental HealthDepartment of Genetics and Complex Diseases,Education Not Found,Associate Professor of Environmental Genetics and Pathophysiology,Degree Not Found,0
